==32507== NVPROF is profiling process 32507, command: ./jacobi
==32507== Profiling application: ./jacobi
==32507== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,us,us,us,
"GPU activities",49.203899,43.419130,1000,43.419000,41.120000,47.520000,"calcNext_47_gpu"
"GPU activities",41.774557,36.863236,1000,36.863000,35.647000,38.815000,"swap_63_gpu"
"GPU activities",4.208546,3.713759,1000,3.713000,3.615000,4.512000,"calcNext_47_gpu__red"
"GPU activities",2.012067,1.775514,1001,1.773000,1.087000,636.733000,"[CUDA memcpy DtoH]"
"GPU activities",1.687654,1.489241,2,744.620000,743.421000,745.820000,"[CUDA memcpy HtoD]"
"GPU activities",1.113277,0.982392,1000,0.982000,0.928000,1.312000,"[CUDA memset]"
"API calls",45.872759,215.775266,1,215775.266000,215775.266000,215775.266000,"cuDevicePrimaryCtxRetain"
"API calls",20.143782,94.751874,4002,23.676000,2.150000,741.461000,"cuStreamSynchronize"
"API calls",16.799087,79.019173,1,79019.173000,79019.173000,79019.173000,"cuDevicePrimaryCtxRelease"
"API calls",6.245203,29.376046,1,29376.046000,29376.046000,29376.046000,"cuMemHostAlloc"
"API calls",4.700148,22.108454,3000,7.369000,5.032000,565.942000,"cuLaunchKernel"
"API calls",1.971336,9.272727,1,9272.727000,9272.727000,9272.727000,"cuMemFreeHost"
"API calls",1.390119,6.538811,1001,6.532000,5.994000,12.565000,"cuMemcpyDtoHAsync"
"API calls",0.952983,4.482619,1000,4.482000,3.990000,12.097000,"cuMemsetD32Async"
"API calls",0.662391,3.115741,1,3115.741000,3115.741000,3115.741000,"cuMemAllocHost"
"API calls",0.449016,2.112073,1001,2.109000,1.415000,556.944000,"cuEventSynchronize"
"API calls",0.438155,2.060985,1001,2.058000,1.852000,16.919000,"cuEventRecord"
"API calls",0.305533,1.437158,5,287.431000,5.444000,772.197000,"cuMemAlloc"
"API calls",0.044310,0.208424,1,208.424000,208.424000,208.424000,"cuModuleLoadDataEx"
"API calls",0.009430,0.044357,2,22.178000,12.141000,32.216000,"cuMemcpyHtoDAsync"
"API calls",0.006762,0.031806,1,31.806000,31.806000,31.806000,"cuStreamCreate"
"API calls",0.002965,0.013947,2,6.973000,1.406000,12.541000,"cuDeviceGetPCIBusId"
